blancura;brillo;opacidad;traccion;rasgado;doblado;bea;absorcion;permeabilidad;rugosidad;ceniza;abrasion
0,902;0,827;0,82;2,5;4,86;48,2;978;1,15;21,4;3,14;0,0036;0,0007
0,878;0,834;0,789;1,69;3,83;50,7;724;1,05;22,8;3,21;0,003;0,0009
0,906;0,885;0,757;2,7;4,6;43,1;899;1;19,2;2,81;0,0024;0,0013
0,839;0,791;0,748;3,53;5,36;53,5;1139;0,84;19,3;2,81;0,0025;0,0013
0,907;0,856;0,77;2,78;5,15;61,6;1006;0,99;19,1;2,84;0,0025;0,0012
0,85;0,797;0,775;2,74;4,76;52,4;1004;1;20,6;3,04;0,0028;0,0008
0,891;0,8;0,814;3,17;5,14;47,4;1024;1,02;21,4;3,17;0,0029;0,001
0,862;0,769;0,873;2,57;4,49;56,4;970;1,2;22,7;3,39;0,0023;0,0007
0,952;0,903;0,711;2,9;5,01;49,7;960;0,81;15,1;2,68;0,0036;0,0013
0,88;0,85;0,747;2,84;4,5;55,3;987;0,86;18,6;2,86;0,0021;0,0014
0,891;0,831;0,855;3,41;5,33;68,3;1050;1,12;21,6;3,11;0,003;0,0009
0,899;0,889;0,729;2,02;4,32;40;751;0,95;19,1;2,89;0,0027;0,0011
0,855;0,788;0,83;2,38;4,56;56,5;840;1,14;21,4;3,12;0,0029;0,0009
0,847;0,773;0,839;3,27;5,07;58,3;1008;1,03;20,5;3,21;0,0034;0,0009
0,943;0,883;0,731;2,84;5,02;54,7;997;0,93;17,3;2,83;0,003;0,0012
0,923;0,87;0,752;1,36;3,93;34,9;701;1,08;20;3,08;0,0037;0,0011
0,962;0,91;0,811;2,61;4,63;59;945;1;19,9;3,07;0,0034;0,0011
0,916;0,883;0,755;2,51;4,83;61;979;0,92;16,9;2,78;0,0034;0,001
0,874;0,759;0,823;2,78;4,82;60,8;992;1,03;21,4;3,16;0,0025;0,001
0,882;0,863;0,783;3,06;5,29;59,8;1048;0,93;21,6;2,97;0,0034;0,0012
0,953;0,917;0,717;3,91;5,07;68,2;1134;0,73;14,8;2,62;0,0025;0,0011
0,857;0,775;0,822;2,63;4,16;49,8;919;1,01;21,1;3,14;0,0024;0,0009
0,965;0,954;0,88;3,18;5,17;60,8;1028;1,11;20,4;3,23;0,0032;0,0008
0,882;0,833;0,701;3,15;4,98;65,6;1136;0,81;17,1;2,58;0,0031;0,0015
0,867;0,839;0,795;2,88;4,99;62,6;891;0,96;18,9;2,99;0,003;0,0009
0,889;0,863;0,758;2,78;4,81;47,7;976;0,96;17,6;2,83;0,0029;0,0009
0,881;0,842;0,804;2,92;5,62;70,6;978;1,03;19,9;2,93;0,0027;0,0009
0,889;0,86;0,719;1,78;3,6;55,7;817;0,94;17,6;2,89;0,003;0,0011
0,902;0,843;0,766;3,27;5,39;63;1021;0,9;17,6;2,77;0,003;0,0009
0,921;0,892;0,753;2,87;5,32;54,7;1060;0,95;17,1;2,64;0,0035;0,0011
0,917;0,838;0,804;3,78;6,12;74,9;1193;0,77;17,4;2,82;0,0021;0,001
0,932;0,908;0,729;2,88;4,85;43,2;1000;0,94;18,2;2,81;0,0036;0,0012
0,877;0,808;0,77;2,94;4,74;50,7;1021;0,92;19;2,93;0,0028;0,0009
0,865;0,783;0,847;3,05;5,45;59,8;1005;1,13;22,2;3,18;0,0022;0,0008
0,875;0,803;0,838;2,81;4,93;63,7;947;0,99;19,5;2,99;0,003;0,001
